model,metric_dataset,r2,mae,mse,bigInference
optimized.model,ssd.csv_inference,nan,210.48895263671875,44305.59918210283,0.07239437103271484
optimized.model,ssd.csv_inference,nan,210.48895263671875,44305.59918210283,0.07191658020019531
convex.model,ssd.csv_inference,nan,462.1694030761719,213600.55713978503,0.0729217529296875
convex.model,ssd.csv_inference,nan,462.1694030761719,213600.55713978503,0.06435990333557129
50_50_LSTM.model,ssd.csv_inference,nan,723.8445434570312,523950.923092518,0.06755542755126953
50_50_LSTM.model,ssd.csv_inference,nan,723.8445434570312,523950.923092518,0.06387162208557129
concave.model,ssd.csv_inference,nan,520.8109436035156,271244.03897718433,0.06413745880126953
concave.model,ssd.csv_inference,nan,520.8109436035156,271244.03897718433,0.06407713890075684
sin.model,ssd.csv_inference,nan,240.23797607421875,57714.2851482369,0.06426668167114258
sin.model,ssd.csv_inference,nan,240.23797607421875,57714.2851482369,0.06416177749633789
trend_up.model,ssd.csv_inference,nan,486.6602478027344,236838.19679141883,0.07355380058288574
trend_up.model,ssd.csv_inference,nan,486.6602478027344,236838.19679141883,0.06331229209899902
all_model.model,ssd.csv_inference,nan,305.2181701660156,93158.13139949087,0.06365609169006348
all_model.model,ssd.csv_inference,nan,305.2181701660156,93158.13139949087,0.06263160705566406
trend_down.model,ssd.csv_inference,nan,792.0,627264.0,0.07560443878173828
trend_down.model,ssd.csv_inference,nan,792.0,627264.0,0.06261062622070312
optimized+misc.model,ssd.csv_inference,nan,153.86236572265625,23673.627585772425,0.06415033340454102
optimized+misc.model,ssd.csv_inference,nan,153.86236572265625,23673.627585772425,0.07528042793273926
const.model,ssd.csv_inference,nan,792.0,627264.0,0.061666011810302734
const.model,ssd.csv_inference,nan,792.0,627264.0,0.07327127456665039
all_misc.model,ssd.csv_inference,nan,226.4046630859375,51259.07146705687,0.07336997985839844
all_misc.model,ssd.csv_inference,nan,226.4046630859375,51259.07146705687,0.06396222114562988
tps_5_model,ssd.csv_inference,nan,15.25494384765625,232.71331179514527,0.07550954818725586
tps_5_model,ssd.csv_inference,nan,15.25494384765625,232.71331179514527,0.06497573852539062
ssd_tps_5_model,ssd.csv_inference,nan,5.98114013671875,35.77403733506799,0.06383109092712402
ssd_tps_5_model,ssd.csv_inference,nan,5.98114013671875,35.77403733506799,0.061698198318481445
hdd_tps_5_model,ssd.csv_inference,nan,494.99407958984375,245019.13882899657,0.06377649307250977
hdd_tps_5_model,ssd.csv_inference,nan,494.99407958984375,245019.13882899657,0.06224966049194336
ssd_await_5_model,ssd.csv_inference,nan,613.1201019287109,375916.2593890729,0.0642242431640625
ssd_await_5_model,ssd.csv_inference,nan,613.1201019287109,375916.2593890729,0.08411693572998047
hdd_await_5_model,ssd.csv_inference,nan,440.2066650390625,193781.90794481337,0.06615948677062988
hdd_await_5_model,ssd.csv_inference,nan,440.2066650390625,193781.90794481337,0.06360912322998047
nvme_await_5_model,ssd.csv_inference,nan,120.683349609375,14564.470872938633,0.0740213394165039
nvme_await_5_model,ssd.csv_inference,nan,120.683349609375,14564.470872938633,0.07359790802001953
nvme_tps_5_model,ssd.csv_inference,nan,1778.697021484375,3163763.094237387,0.0648195743560791
nvme_tps_5_model,ssd.csv_inference,nan,1778.697021484375,3163763.094237387,0.06200909614562988
nvme_tps_5_model,ssd.csv_inference,nan,573.4576416015625,328853.6667112261,0.0648500919342041
nvme_tps_5_model,ssd.csv_inference,nan,573.4576416015625,328853.6667112261,0.06311798095703125
nvme_await_5_model,ssd.csv_inference,nan,557.9579620361328,311317.0873995146,0.08281755447387695
nvme_await_5_model,ssd.csv_inference,nan,557.9579620361328,311317.0873995146,0.06214475631713867
hdd_tps_5_model,ssd.csv_inference,nan,496.1427001953125,246157.57895709574,0.06520295143127441
hdd_tps_5_model,ssd.csv_inference,nan,496.1427001953125,246157.57895709574,0.06332778930664062
ssd_tps_5_model,ssd.csv_inference,nan,2.62939453125,6.913715600967407,0.06479406356811523
ssd_tps_5_model,ssd.csv_inference,nan,2.62939453125,6.913715600967407,0.06264996528625488
hdd_await_5_model,ssd.csv_inference,nan,428.83990478515625,183903.66393614188,0.06498980522155762
hdd_await_5_model,ssd.csv_inference,nan,428.83990478515625,183903.66393614188,0.07579803466796875
ssd_await_5_model,ssd.csv_inference,nan,611.0279083251953,373355.1047522633,0.06406593322753906
ssd_await_5_model,ssd.csv_inference,nan,611.0279083251953,373355.1047522633,0.0735468864440918
ssd_svctm_5_model,ssd.csv_inference,nan,790.8618239164352,625462.4245284306,0.06344127655029297
ssd_svctm_5_model,ssd.csv_inference,nan,790.8618239164352,625462.4245284306,0.06700515747070312
nvme_svctm_5_model,ssd.csv_inference,nan,791.4723941087723,626428.5506362717,0.06194734573364258
nvme_svctm_5_model,ssd.csv_inference,nan,791.4723941087723,626428.5506362717,0.0628814697265625
hdd_svctm_5_model,ssd.csv_inference,nan,791.7401061058044,626852.3956164304,0.06418657302856445
hdd_svctm_5_model,ssd.csv_inference,nan,791.7401061058044,626852.3956164304,0.0620417594909668
hdd_rd_secps_5_model,ssd.csv_inference,nan,148411.34375,22025926953.680664,0.06396222114562988
hdd_rd_secps_5_model,ssd.csv_inference,nan,148411.34375,22025926953.680664,0.06559085845947266
ssd_rd_secps_5_model,ssd.csv_inference,nan,173998.140625,30275352940.957275,0.07453203201293945
ssd_rd_secps_5_model,ssd.csv_inference,nan,173998.140625,30275352940.957275,0.0626230239868164
nvme_rd_secps_5_model,ssd.csv_inference,nan,164226.0,26970179076.0,0.0649254322052002
nvme_rd_secps_5_model,ssd.csv_inference,nan,164226.0,26970179076.0,0.06318998336791992
ssd_%util_5_model,ssd.csv_inference,nan,691.904426574707,478731.73551367415,0.05981040000915527
ssd_%util_5_model,ssd.csv_inference,nan,691.904426574707,478731.73551367415,0.06098794937133789
nvme_%util_5_model,ssd.csv_inference,nan,701.8540649414062,492599.1284747757,0.07662057876586914
nvme_%util_5_model,ssd.csv_inference,nan,701.8540649414062,492599.1284747757,0.061083316802978516
hdd_%util_5_model,ssd.csv_inference,nan,692.3112487792969,479294.8651863495,0.0640101432800293
hdd_%util_5_model,ssd.csv_inference,nan,692.3112487792969,479294.8651863495,0.06407618522644043
hdd_wr_secps_5_model,ssd.csv_inference,nan,754.9515380859375,569951.8248583227,0.07645463943481445
hdd_wr_secps_5_model,ssd.csv_inference,nan,754.9515380859375,569951.8248583227,0.06503653526306152
nvme_wr_secps_5_model,ssd.csv_inference,nan,496.9105529785156,246920.09766141418,0.061110496520996094
nvme_wr_secps_5_model,ssd.csv_inference,nan,496.9105529785156,246920.09766141418,0.06161904335021973
ssd_wr_secps_5_model,ssd.csv_inference,nan,591.2227630615234,349544.3555621023,0.07595658302307129
ssd_wr_secps_5_model,ssd.csv_inference,nan,591.2227630615234,349544.3555621023,0.07385659217834473
ssd_Avgrq_sz_5_model,ssd.csv_inference,nan,152.869873046875,23369.19808536768,0.06238245964050293
ssd_Avgrq_sz_5_model,ssd.csv_inference,nan,152.869873046875,23369.19808536768,0.06543231010437012
hdd_Avgrq_sz_5_model,ssd.csv_inference,nan,211.203125,44606.760009765625,0.06186842918395996
hdd_Avgrq_sz_5_model,ssd.csv_inference,nan,211.203125,44606.760009765625,0.07339811325073242
nvme_Avgrq_sz_5_model,ssd.csv_inference,nan,83.54888916015625,6980.4168798960745,0.07289290428161621
nvme_Avgrq_sz_5_model,ssd.csv_inference,nan,83.54888916015625,6980.4168798960745,0.06293678283691406
